--------------------------------------------------
CSMaxDelays
f=24,q=4;-758.571:127.183:1012.938;-201.679:656.728:1515.134;-87.161:750.136:1587.434;-955.706:286.877:1529.459;41.225:539.494:1037.762;-169.055:715.531:1600.117;-1962.013:-40.029:1881.955;-161.281:627.842:1416.966;-20.836:690.438:1401.712;-215.495:92.433:400.361;-255.65:622.968:1501.586;-89.623:710.803:1511.229;0:0:0;-441.323:580.892:1603.108;-200.149:695.347:1590.842
f=24,q=5;-1626.146:-453.709:718.728;-334.615:75.835:486.286;-230.771:169.244:569.259;-1206.23:-294.016:618.199;-783.96:-41.399:701.163;-361.355:134.639:630.633;-1646.112:-620.921:404.269;-524.897:46.95:618.797;-396.036:109.546:615.128;-1209.696:-488.459:232.779;-404.878:42.076:489.029;-313.903:129.911:573.725;-1603.108:-580.892:441.323;0:0:0;-326.963:114.454:555.872
f=24,q=6;-1319.868:-568.163:183.541;-90.335:-38.619:13.097;-23.122:54.79:132.702;-922.605:-408.47:105.664;-603.273:-155.853:291.567;-35.084:20.184:75.453;-1769.124:-735.376:298.373;-228.76:-67.504:93.752;-190.319:-4.908:180.502;-1273.086:-602.913:67.259;-89.782:-72.379:-54.976;-80.744:15.456:111.657;-1590.842:-695.347:200.149;-555.872:-114.454:326.963;0:0:0
--------------------------------------------------
PRMaxDelays
;f=16,q=4;f=16,q=5;f=16,q=6;f=18,q=4;f=18,q=5;f=18,q=6;f=20,q=4;f=20,q=5;f=20,q=6;f=22,q=4;f=22,q=5;f=22,q=6;f=24,q=4;f=24,q=5;f=24,q=6
f=16,q=4;0:0:0;-276.192:576.292:1428.776;-202.094:634.68:1471.454;-410.032:184.817:779.666;-93.908:478.23:1050.369;-57.458:637.791:1333.041;-1705.145:-155.869:1393.407;-257.855:535.197:1328.249;-290.396:618.581:1527.558;-876.22:7.031:890.282;-255.965:501.473:1258.91;-144.948:634.456:1413.86;-796.749:-123.668:549.412;-637.308:479.84:1596.987;-171.423:606.322:1384.067
f=16,q=5;-1428.776:-576.292:276.192;0:0:0;3.739:58.388:113.037;-866.577:-391.475:83.627;-586.807:-98.061:390.684;-103.779:61.5:226.779;-1705.873:-732.161:241.551;-111.121:-41.095:28.931;-19.739:42.289:104.317;-1196.223:-569.261:57.702;-185.536:-74.819:35.898;-18.84:58.164:135.167;-1588.016:-699.96:188.096;-389.4:-96.452:196.496;-81.408:30.03:141.468
f=16,q=6;-1471.454:-634.68:202.094;-113.037:-58.388:-3.739;0:0:0;-878.077:-449.863:-21.649;-667.788:-156.45:354.889;-168.852:3.111:175.074;-1725.986:-790.549:144.888;-145.331:-99.483:-53.635;-123.425:-16.099:91.227;-1299.061:-627.649:43.763;-212.846:-133.207:-53.569;-63.217:-0.224:62.768;-1672.486:-758.348:155.789;-490.285:-154.84:180.605;-95.467:-28.358:38.75
f=18,q=4;-779.666:-184.817:410.032;-83.627:391.475:866.577;21.649:449.863:878.077;0:0:0;-341.314:293.414:928.142;39.461:452.975:866.489;-1295.627:-340.686:614.255;-56.397:350.38:757.158;-100.93:433.764:968.458;-1104.86:-177.786:749.288;-51.676:316.656:684.988;43.14:449.639:856.138;-1299.409:-308.485:682.439;-468.346:295.023:1058.392;57.681:421.505:785.329
f=18,q=5;-1050.369:-478.23:93.908;-390.684:98.061:586.807;-354.889:156.45:667.788;-928.142:-293.414:341.314;0:0:0;-184.584:159.561:503.706;-2067.956:-634.1:799.757;-413.265:56.967:527.198;-377.441:140.351:658.142;-801.665:-471.199:-140.734;-437.375:23.242:483.859;-295.888:156.225:608.339;-1006.064:-601.899:-197.734;-650.894:1.609:654.113;-363.727:128.091:619.909
