--------------------------------------------------
CSMaxDelays
f=18,q=5;-0.549:-0.283:-0.017;-0.031:0.001:0.034;-0.01:0.026:0.061;-0.533:-0.263:0.007;0:0:0;-0.01:0.023:0.056;-1.106:-0.433:0.24;-0.023:0.011:0.044;-0.008:0.023:0.055;-0.706:-0.463:-0.219;-0.042:0.007:0.057;-0.007:0.024:0.054;-0.555:-0.457:-0.36;-0.046:-0.01:0.027;-0.019:0.02:0.059
f=18,q=6;-0.571:-0.306:-0.041;-0.031:-0.022:-0.012;-0.005:0.003:0.01;-0.528:-0.286:-0.045;-0.056:-0.023:0.01;0:0:0;-1.1:-0.456:0.188;-0.013:-0.012:-0.011;-0.012:0:0.013;-0.761:-0.486:-0.21;-0.032:-0.016:0.001;-0.008:0.001:0.009;-0.551:-0.481:-0.41;-0.081:-0.033:0.015;-0.014:-0.003:0.007
f=20,q=4;-0.669:0.15:0.969;-0.216:0.434:1.085;-0.18:0.459:1.098;-0.405:0.17:0.745;-0.24:0.433:1.106;-0.188:0.456:1.1;0:0:0;-0.2:0.444:1.087;-0.185:0.456:1.098;-0.896:-0.03:0.836;-0.191:0.44:1.071;-0.187:0.457:1.1;-0.653:-0.024:0.604;-0.231:0.423:1.077;-0.183:0.453:1.088
f=20,q=5;-0.56:-0.294:-0.028;-0.02:-0.009:0.001;0.008:0.015:0.022;-0.516:-0.274:-0.032;-0.044:-0.011:0.023;0.011:0.012:0.013;-1.087:-0.444:0.2;0:0:0;0.001:0.013:0.024;-0.749:-0.473:-0.198;-0.02:-0.003:0.013;0.005:0.013:0.02;-0.539:-0.468:-0.397;-0.068:-0.021:0.027;-0.001:0.009:0.019
f=20,q=6;-0.583:-0.306:-0.029;-0.043:-0.022:-0.001;-0.004:0.002:0.009;-0.538:-0.287:-0.036;-0.055:-0.023:0.008;-0.013:0:0.012;-1.098:-0.456:0.185;-0.024:-0.013:-0.001;0:0:0;-0.756:-0.486:-0.217;-0.04:-0.016:0.008;-0.004:0:0.005;-0.563:-0.481:-0.399;-0.07:-0.033:0.003;-0.012:-0.004:0.005
f=22,q=4;-0.235:0.18:0.595;0.188:0.464:0.74;0.213:0.488:0.764;-0.31:0.2:0.709;0.219:0.463:0.706;0.21:0.486:0.761;-0.836:0.03:0.896;0.198:0.473:0.749;0.217:0.486:0.756;0:0:0;0.178:0.47:0.762;0.215:0.486:0.757;-0.333:0.005:0.343;0.214:0.453:0.692;0.204:0.483:0.761
f=22,q=5;-0.555:-0.29:-0.026;-0.025:-0.006:0.013;0.001:0.018:0.036;-0.497:-0.271:-0.044;-0.057:-0.007:0.042;-0.001:0.016:0.032;-1.071:-0.44:0.191;-0.013:0.003:0.02;-0.008:0.016:0.04;-0.762:-0.47:-0.178;0:0:0;-0.006:0.016:0.038;-0.523:-0.465:-0.407;-0.078:-0.017:0.044;-0.004:0.013:0.029
f=22,q=6;-0.579:-0.306:-0.034;-0.039:-0.022:-0.005;-0.003:0.002:0.007;-0.535:-0.287:-0.038;-0.054:-0.024:0.007;-0.009:-0.001:0.008;-1.1:-0.457:0.187;-0.02:-0.013:-0.005;-0.005:0:0.004;-0.757:-0.486:-0.215;-0.038:-0.016:0.006;0:0:0;-0.559:-0.481:-0.403;-0.073:-0.033:0.007;-0.012:-0.004:0.004
f=24,q=4;-0.051:0.175:0.4;0.393:0.459:0.525;0.408:0.483:0.558;0.022:0.194:0.367;0.36:0.457:0.555;0.41:0.481:0.551;-0.604:0.024:0.653;0.397:0.468:0.539;0.399:0.481:0.563;-0.343:-0.005:0.333;0.407:0.465:0.523;0.403:0.481:0.559;0:0:0;0.33:0.448:0.566;0.403:0.477:0.552
f=24,q=5;-0.575:-0.273:0.029;-0.043:0.011:0.066;-0.008:0.036:0.079;-0.541:-0.253:0.034;-0.027:0.01:0.046;-0.015:0.033:0.081;-1.077:-0.423:0.231;-0.027:0.021:0.068;-0.003:0.033:0.07;-0.692:-0.453:-0.214;-0.044:0.017:0.078;-0.007:0.033:0.073;-0.566:-0.448:-0.33;0:0:0;-0.015:0.03:0.074
f=24,q=6;-0.578:-0.303:-0.028;-0.038:-0.018:0.001;0.002:0.006:0.009;-0.526:-0.283:-0.04;-0.059:-0.02:0.019;-0.007:0.003:0.014;-1.088:-0.453:0.183;-0.019:-0.009:0.001;-0.005:0.004:0.012;-0.761:-0.483:-0.204;-0.029:-0.013:0.004;-0.004:0.004:0.012;-0.552:-0.477:-0.403;-0.074:-0.03:0.015;0:0:0
--------------------------------------------------
MaxWaitTimes
;f=16,q=4;f=16,q=5;f=16,q=6;f=18,q=4;f=18,q=5;f=18,q=6;f=20,q=4;f=20,q=5;f=20,q=6;f=22,q=4;f=22,q=5;f=22,q=6;f=24,q=4;f=24,q=5;f=24,q=6
f=16,q=4;0:0:0;-545.019:-192.186:160.648;-507.722:-57.867:391.989;-722.784:-129.28:464.224;-231.845:-112.925:5.995;-340.75:-234.213:-127.676;-435.505:79.06:593.625;-1037.484:-74.609:888.267;-555.137:-102.48:350.176;-295.458:-199.386:-103.315;-605.184:-74.69:455.804;-548.145:-33.014:482.118;-506.767:-77.437:351.893;-715.363:-164.499:386.365;-598.445:-255.908:86.629
f=16,q=5;-160.648:192.186:545.019;0:0:0;-599.151:134.319:867.79;-877.877:62.906:1003.689;-388.119:79.261:546.641;-440.64:-42.027:356.585;-207.215:271.246:749.707;-664.317:117.577:899.471;-662.012:89.705:841.422;-405.01:-7.201:390.609;-492.453:117.495:727.443;-693.467:159.172:1011.811;-468.709:114.749:698.207;-282.087:27.687:337.461;-610.69:-63.723:483.245
f=16,q=6;-391.989:57.867:507.722;-867.79:-134.319:599.151;0:0:0;-417.425:-71.413:274.599;-407.405:-55.058:297.288;-531.367:-176.346:178.674;-404.277:136.927:678.13;-1021.743:-16.742:988.259;-90.856:-44.614:1.628;-502.937:-141.52:219.897;-413.738:-16.824:380.091;-204.14:24.853:253.846;-823.802:-19.57:784.661;-1096.515:-106.632:883.25;-415.969:-198.042:19.886
f=18,q=4;-464.224:129.28:722.784;-1003.689:-62.906:877.877;-274.599:71.413:417.425;0:0:0;-458.83:16.355:491.54;-651.773:-104.933:441.906;-662.381:208.34:1079.06;-1289.898:54.671:1399.24;-273.175:26.799:326.774;-615.644:-70.107:475.43;-686.903:54.589:796.082;-21.46:96.266:213.992;-721.083:51.843:824.769;-1164.723:-35.219:1094.285;-663.015:-126.628:409.758
f=18,q=5;-5.995:112.925:231.845;-546.641:-79.261:388.119;-297.288:55.058:407.405;-491.54:-16.355:458.83;0:0:0;-224.49:-121.288:-18.086;-352.429:191.985:736.399;-975.831:38.316:1052.464;-337.458:10.445:358.347;-180.939:-86.461:8.017;-479.064:38.235:555.533;-316.669:79.911:476.492;-433.25:35.488:504.226;-718.71:-51.574:615.562;-440.699:-142.983:154.732
f=18,q=6;127.676:234.213:340.75;-356.585:42.027:440.64;-178.674:176.346:531.367;-441.906:104.933:651.773;18.086:121.288:224.49;0:0:0;-130.955:313.273:757.501;-751.711:159.604:1070.919;-232.224:131.733:495.689;22.798:34.827:46.855;-274.944:159.523:593.99;-253.15:201.199:655.548;-371.756:156.776:685.308;-565.626:69.714:705.054;-258.097:-21.695:214.706
f=20,q=4;-593.625:-79.06:435.505;-749.707:-271.246:207.215;-678.13:-136.927:404.277;-1079.06:-208.34:662.381;-736.399:-191.985:352.429;-757.501:-313.273:130.955;0:0:0;-634.485:-153.669:327.147;-764.078:-181.54:400.997;-733.537:-278.446:176.644;-344.952:-153.75:37.451;-866.658:-112.074:642.511;-1085.862:-156.497:772.867;-1030.353:-243.559:543.235;-669.317:-334.968:-0.619
f=20,q=5;-888.267:74.609:1037.484;-899.471:-117.577:664.317;-988.259:16.742:1021.743;-1399.24:-54.671:1289.898;-1052.464:-38.316:975.831;-1070.919:-159.604:751.711;-327.147:153.669:634.485;0:0:0;-1076.984:-27.872:1021.24;-1045.845:-124.778:796.29;-611.396:-0.082:611.233;-1185.637:41.595:1268.828;-1342.101:-2.828:1336.445;-1121.349:-89.89:941.569;-992.335:-181.299:629.736
f=20,q=6;-350.176:102.48:555.137;-841.422:-89.705:662.012;-1.628:44.614:90.856;-326.774:-26.799:273.175;-358.347:-10.445:337.458;-495.689:-131.733:232.224;-400.997:181.54:764.078;-1021.24:27.872:1076.984;0:0:0;-465.932:-96.906:272.119;-414.436:27.79:470.016;-113.335:69.467:252.269;-762.492:25.043:812.578;-1060.877:-62.019:936.84;-407.615:-153.428:100.759
f=22,q=4;103.315:199.386:295.458;-390.609:7.201:405.01;-219.897:141.52:502.937;-475.43:70.107:615.644;-8.017:86.461:180.939;-46.855:-34.827:-22.798;-176.644:278.446:733.537;-796.29:124.778:1045.845;-272.119:96.906:465.932;0:0:0;-321.799:124.696:571.191;-288.458:166.373:621.203;-394.697:121.949:638.596;-594.971:34.888:664.746;-304.123:-56.522:191.08
f=22,q=5;-455.804:74.69:605.184;-727.443:-117.495:492.453;-380.091:16.824:413.738;-796.082:-54.589:686.903;-555.533:-38.235:479.064;-593.99:-159.523:274.944;-37.451:153.75:344.952;-611.233:0.082:611.396;-470.016:-27.79:414.436;-571.191:-124.696:321.799;0:0:0;-582.126:41.677:665.479;-962.548:-2.747:957.054;-1007.691:-89.808:828.074;-415.648:-181.218:53.212
f=22,q=6;-482.118:33.014:548.145;-1011.811:-159.172:693.467;-253.846:-24.853:204.14;-213.992:-96.266:21.46;-476.492:-79.911:316.669;-655.548:-201.199:253.15;-642.511:112.074:866.658;-1268.828:-41.595:1185.637;-252.269:-69.467:113.335;-621.203:-166.373:288.458;-665.479:-41.677:582.126;0:0:0;-800.319:-44.423:711.472;-1193.908:-131.485:930.938;-643.423:-222.895:197.634
f=24,q=4;-351.893:77.437:506.767;-698.207:-114.749:468.709;-784.661:19.57:823.802;-824.769:-51.843:721.083;-504.226:-35.488:433.25;-685.308:-156.776:371.756;-772.867:156.497:1085.862;-1336.445:2.828:1342.101;-812.578:-25.043:762.492;-638.596:-121.949:394.697;-957.054:2.747:962.548;-711.472:44.423:800.319;0:0:0;-621.095:-87.062:446.971;-939.09:-178.471:582.147
f=24,q=5;-386.365:164.499:715.363;-337.461:-27.687:282.087;-883.25:106.632:1096.515;-1094.285:35.219:1164.723;-615.562:51.574:718.71;-705.054:-69.714:565.626;-543.235:243.559:1030.353;-941.569:89.89:1121.349;-936.84:62.019:1060.877;-664.746:-34.888:594.971;-828.074:89.808:1007.691;-930.938:131.485:1193.908;-446.971:87.062:621.095;0:0:0;-920.849:-91.409:738.031
f=24,q=6;-86.629:255.908:598.445;-483.245:63.723:610.69;-19.886:198.042:415.969;-409.758:126.628:663.015;-154.732:142.983:440.699;-214.706:21.695:258.097;0.619:334.968:669.317;-629.736:181.299:992.335;-100.759:153.428:407.615;-191.08:56.522:304.123;-53.212:181.218:415.648;-197.634:222.895:643.423;-582.147:178.471:939.09;-738.031:91.409:920.849;0:0:0
--------------------------------------------------
AvgWaitTimes
;f=16,q=4;f=16,q=5;f=16,q=6;f=18,q=4;f=18,q=5;f=18,q=6;f=20,q=4;f=20,q=5;f=20,q=6;f=22,q=4;f=22,q=5;f=22,q=6;f=24,q=4;f=24,q=5;f=24,q=6
f=16,q=4;0:0:0;-32.578:4.414:41.407;-23.035:27.175:77.384;-42.671:6.158:54.987;4.263:44.224:84.185;-14.099:32.873:79.845;-87.498:21.817:131.131;7.34:52.782:98.224;12.399:62.096:111.792;-29.484:26.505:82.494;23.762:71.041:118.32;23.951:65.669:107.388;1.972:54.517:107.062;24.846:74.559:124.272;34.18:81.425:128.67
f=16,q=5;-41.407:-4.414:32.578;0:0:0;9.368:22.76:36.153;-32.211:1.743:35.697;31.974:39.809:47.645;16.985:28.459:39.932;-62.735:17.402:97.539;39.815:48.368:56.921;44.684:57.681:70.678;-26.327:22.09:70.508;52.567:66.627:80.687;56.243:61.255:66.266;34.344:50.102:65.861;57.372:70.145:82.918;66.757:77.011:87.265
f=16,q=6;-77.384:-27.175:23.035;-36.153:-22.76:-9.368;0:0:0;-60.406:-21.017:18.372;5.065:17.049:29.033;-3.885:5.698:15.282;-78.908:-5.358:68.191;19.424:25.608:31.791;29.201:34.921:40.641;-50.557:-0.67:49.218;29.966:43.866:57.767;29.996:38.495:46.993;21.342:27.342:33.342;46.127:47.384:48.641;50.533:54.251:57.968
f=18,q=4;-54.987:-6.158:42.671;-35.697:-1.743:32.211;-18.372:21.017:60.406;0:0:0;-3.544:38.066:79.676;-3.09:26.715:56.52;-46.877:15.659:78.194;12.602:46.624:80.647;21.983:55.938:89.892;-61.556:20.347:102.25;39.307:64.883:90.46;23.243:59.512:95.78;12.954:48.359:83.764;30.269:68.401:106.533;39.087:75.267:111.448
f=18,q=5;-84.185:-44.224:-4.263;-47.645:-39.809:-31.974;-29.033:-17.049:-5.065;-79.676:-38.066:3.544;0:0:0;-27.017:-11.351:4.316;-106.588:-22.407:61.774;-2.33:8.559:19.448;3.002:17.872:32.742;-59.238:-17.719:23.8;7.33:26.817:46.305;15.219:21.446:27.672;-6.596:10.293:27.182;18.209:30.335:42.462;26.368:37.202:48.035
f=18,q=6;-79.845:-32.873:14.099;-39.932:-28.459:-16.985;-15.282:-5.698:3.885;-56.52:-26.715:3.09;-4.316:11.351:27.017;0:0:0;-80.001:-11.057:57.888;14.889:19.909:24.93;24.809:29.223:33.636;-63.229:-6.368:50.493;33.739:38.168:42.597;23.321:32.796:42.271;14.846:21.644:28.441;33.359:41.686:50.013;41.958:48.552:55.146
f=20,q=4;-131.131:-21.817:87.498;-97.539:-17.402:62.735;-68.191:5.358:78.908;-78.194:-15.659:46.877;-61.774:22.407:106.588;-57.888:11.057:80.001;0:0:0;-42.381:30.966:104.313;-29.081:40.279:109.639;-118.202:4.688:127.579;-16.905:49.225:115.354;-34.391:43.853:122.097;-35.021:32.7:100.421;-20.128:52.743:125.613;-13.851:59.609:133.068
f=20,q=5;-98.224:-52.782:-7.34;-56.921:-48.368:-39.815;-31.791:-25.608:-19.424;-80.647:-46.624:-12.602;-19.448:-8.559:2.33;-24.93:-19.909:-14.889;-104.313:-30.966:42.381;0:0:0;4.801:9.313:13.825;-78.138:-26.277:25.583;8.944:18.259:27.573;7.94:12.887:17.834;-5.474:1.734:8.943;16.659:21.777:26.895;26.174:28.643:31.112
f=20,q=6;-111.792:-62.096:-12.399;-70.678:-57.681:-44.684;-40.641:-34.921:-29.201;-89.892:-55.938:-21.983;-32.742:-17.872:-3.002;-33.636:-29.223:-24.809;-109.639:-40.279:29.081;-13.825:-9.313:-4.801;0:0:0;-90.489:-35.591:19.307;0.567:8.945:17.324;-5.76:3.574:12.908;-10.447:-7.579:-4.711;7.942:12.463:16.985;15.22:19.33:23.439
f=22,q=4;-82.494:-26.505:29.484;-70.508:-22.09:26.327;-49.218:0.67:50.557;-102.25:-20.347:61.556;-23.8:17.719:59.238;-50.493:6.368:63.229;-127.579:-4.688:118.202;-25.583:26.277:78.138;-19.307:35.591:90.489;0:0:0;-16.389:44.536:105.462;-8.516:39.164:86.844;-27.872:28.012:83.896;-2.716:48.054:98.824;4.017:54.92:105.824
f=22,q=5;-118.32:-71.041:-23.762;-80.687:-66.627:-52.567;-57.767:-43.866:-29.966;-90.46:-64.883:-39.307;-46.305:-26.817:-7.33;-42.597:-38.168:-33.739;-115.354:-49.225:16.905;-27.573:-18.259:-8.944;-17.324:-8.945:-0.567;-105.462:-44.536:16.389;0:0:0;-18.642:-5.372:7.899;-26.582:-16.524:-6.466;-9.129:3.518:16.165;-0.639:10.384:21.407
f=22,q=6;-107.388:-65.669:-23.951;-66.266:-61.255:-56.243;-46.993:-38.495:-29.996;-95.78:-59.512:-23.243;-27.672:-21.446:-15.219;-42.271:-32.796:-23.321;-122.097:-43.853:34.391;-17.834:-12.887:-7.94;-12.908:-3.574:5.76;-86.844:-39.164:8.516;-7.899:5.372:18.642;0:0:0;-22.948:-11.153:0.642;0.864:8.89:16.915;9.973:15.756:21.539
f=24,q=4;-107.062:-54.517:-1.972;-65.861:-50.102:-34.344;-33.342:-27.342:-21.342;-83.764:-48.359:-12.954;-27.182:-10.293:6.596;-28.441:-21.644:-14.846;-100.421:-32.7:35.021;-8.943:-1.734:5.474;4.711:7.579:10.447;-83.896:-28.012:27.872;6.466:16.524:26.582;-0.642:11.153:22.948;0:0:0;14.877:20.042:25.208;20.784:26.909:33.033
f=24,q=5;-124.272:-74.559:-24.846;-82.918:-70.145:-57.372;-48.641:-47.384:-46.127;-106.533:-68.401:-30.269;-42.462:-30.335:-18.209;-50.013:-41.686:-33.359;-125.613:-52.743:20.128;-26.895:-21.777:-16.659;-16.985:-12.463:-7.942;-98.824:-48.054:2.716;-16.165:-3.518:9.129;-16.915:-8.89:-0.864;-25.208:-20.042:-14.877;0:0:0;4.16:6.866:9.573
f=24,q=6;-128.67:-81.425:-34.18;-87.265:-77.011:-66.757;-57.968:-54.251:-50.533;-111.448:-75.267:-39.087;-48.035:-37.202:-26.368;-55.146:-48.552:-41.958;-133.068:-59.609:13.851;-31.112:-28.643:-26.174;-23.439:-19.33:-15.22;-105.824:-54.92:-4.017;-21.407:-10.384:0.639;-21.539:-15.756:-9.973;-33.033:-26.909:-20.784;-9.573:-6.866:-4.16;0:0:0
--------------------------------------------------
MaxTravelTimes
;f=16,q=4;f=16,q=5;f=16,q=6;f=18,q=4;f=18,q=5;f=18,q=6;f=20,q=4;f=20,q=5;f=20,q=6;f=22,q=4;f=22,q=5;f=22,q=6;f=24,q=4;f=24,q=5;f=24,q=6
f=16,q=4;0:0:0;-720.001:-68.365:583.272;-518.5:-72.528:373.443;-305.694:69.31:444.315;-535.27:-65.332:404.607;-542.182:-5.612:530.958;-504.293:18.399:541.092;-473.937:7.647:489.231;-459.082:-105.294:248.495;-436.723:97.283:631.29;-447.578:22.784:493.146;-432.891:-39.997:352.896;-322.781:-6.704:309.372;-772.236:-46.182:679.872;-208.843:-113.427:-18.011
f=16,q=5;-583.272:68.365:720.001;0:0:0;-602.5:-4.164:594.172;-166.148:137.675:441.498;-698.679:3.033:704.745;-545.632:62.753:671.137;-285.716:86.764:459.244;-379.445:76.012:531.469;-352.553:-36.929:278.694;-513.388:165.648:844.684;-250.324:91.149:432.622;-440.357:28.367:497.091;-540.741:61.66:664.061;-862.897:22.183:907.262;-604.22:-45.062:514.095
f=16,q=6;-373.443:72.528:518.5;-594.172:4.164:602.5;0:0:0;-199.7:141.839:483.378;-96.934:7.197:111.328;-25.497:66.917:159.33;-154.771:90.928:336.627;-73.064:80.176:233.416;-382.942:-32.765:317.411;66.972:169.812:272.652;-162.302:95.313:352.927;-104.641:32.531:169.703;-66.789:65.824:198.438;-300.014:26.347:352.707;-431.895:-40.899:350.097
f=18,q=4;-444.315:-69.31:305.694;-441.498:-137.675:166.148;-483.378:-141.839:199.7;0:0:0;-570.756:-134.642:301.472;-461.442:-74.922:311.597;-265.432:-50.911:163.61;-304.231:-61.663:180.905;-199.722:-174.604:-149.487;-411.338:27.973:467.284;-195.705:-46.526:102.652;-314.196:-109.308:95.58;-385.12:-76.015:233.091;-777.996:-115.492:547.011;-462.365:-182.737:96.89
f=18,q=5;-404.607:65.332:535.27;-704.745:-3.033:698.679;-111.328:-7.197:96.934;-301.472:134.642:570.756;0:0:0;-86.12:59.72:205.56;-264.869:83.731:432.331;-183.277:72.979:329.234;-481.844:-39.962:401.919;77.199:162.615:248.031;-273.434:88.116:449.665;-210.662:25.334:261.33;-105.804:58.627:223.059;-240.554:19.15:278.854;-482.057:-48.095:385.866
f=18,q=6;-530.958:5.612:542.182;-671.137:-62.753:545.632;-159.33:-66.917:25.497;-311.597:74.922:461.442;-205.56:-59.72:86.12;0:0:0;-213.231:24.011:261.254;-141.594:13.259:168.112;-499.683:-99.682:300.319;24.64:102.895:181.151;-243.086:28.396:299.878;-222.746:-34.386:153.974;-226.058:-1.092:223.873;-320.999:-40.57:239.859;-585.138:-107.815:369.508
f=20,q=4;-541.092:-18.399:504.293;-459.244:-86.764:285.716;-336.627:-90.928:154.771;-163.61:50.911:265.432;-432.331:-83.731:264.869;-261.254:-24.011:213.231;0:0:0;-103.219:-10.752:81.715;-361.022:-123.693:113.636;-232.201:78.884:389.969;-61.049:4.385:69.819;-212.84:-58.397:96.046;-330.168:-25.104:279.961;-577.209:-64.581:448.047;-567.267:-131.826:303.614
f=20,q=5;-489.231:-7.647:473.937;-531.469:-76.012:379.445;-233.416:-80.176:73.064;-180.905:61.663:304.231;-329.234:-72.979:183.277;-168.112:-13.259:141.594;-81.715:10.752:103.219;0:0:0;-372.864:-112.941:146.982;-133.968:89.636:313.241;-101.492:15.137:131.766;-136.748:-47.645:41.458;-239.605:-14.352:210.902;-488.926:-53.829:381.268;-524.013:-121.074:281.865
f=20,q=6;-248.495:105.294:459.082;-278.694:36.929:352.553;-317.411:32.765:382.942;149.487:174.604:199.722;-401.919:39.962:481.844;-300.319:99.682:499.683;-113.636:123.693:361.022;-146.982:112.941:372.864;0:0:0;-247.089:202.577:652.244;-43.817:128.078:299.973;-149.769:65.296:280.362;-209.486:98.59:406.665;-614.497:59.112:732.721;-266.515:-8.133:250.249
f=22,q=4;-631.29:-97.283:436.723;-844.684:-165.648:513.388;-272.652:-169.812:-66.972;-467.284:-27.973:411.338;-248.031:-162.615:-77.199;-181.151:-102.895:-24.64;-389.969:-78.884:232.201;-313.241:-89.636:133.968;-652.244:-202.577:247.089;0:0:0;-413.158:-74.499:264.159;-371.97:-137.281:97.408;-322.471:-103.988:114.496;-367.805:-143.465:80.874;-697.647:-210.71:276.226
f=22,q=5;-493.146:-22.784:447.578;-432.622:-91.149:250.324;-352.927:-95.313:162.302;-102.652:46.526:195.705;-449.665:-88.116:273.434;-299.878:-28.396:243.086;-69.819:-4.385:61.049;-131.766:-15.137:101.492;-299.973:-128.078:43.817;-264.159:74.499:413.158;0:0:0;-199.989:-62.782:74.426;-316.574:-29.488:257.597;-620.627:-68.966:482.695;-516.424:-136.211:244.002
f=22,q=6;-352.896:39.997:432.891;-497.091:-28.367:440.357;-169.703:-32.531:104.641;-95.58:109.308:314.196;-261.33:-25.334:210.662;-153.974:34.386:222.746;-96.046:58.397:212.84;-41.458:47.645:136.748;-280.362:-65.296:149.769;-97.408:137.281:371.97;-74.426:62.782:199.989;0:0:0;-118.743:33.293:185.33;-464.73:-6.184:452.361;-389.759:-73.43:242.9
f=24,q=4;-309.372:6.704:322.781;-664.061:-61.66:540.741;-198.438:-65.824:66.789;-233.091:76.015:385.12;-223.059:-58.627:105.804;-223.873:1.092:226.058;-279.961:25.104:330.168;-210.902:14.352:239.605;-406.665:-98.59:209.486;-114.496:103.988:322.471;-257.597:29.488:316.574;-185.33:-33.293:118.743;0:0:0;-463.246:-39.478:384.291;-377.485:-106.723:164.039
f=24,q=5;-679.872:46.182:772.236;-907.262:-22.183:862.897;-352.707:-26.347:300.014;-547.011:115.492:777.996;-278.854:-19.15:240.554;-239.859:40.57:320.999;-448.047:64.581:577.209;-381.268:53.829:488.926;-732.721:-59.112:614.497;-80.874:143.465:367.805;-482.695:68.966:620.627;-452.361:6.184:464.73;-384.291:39.478:463.246;0:0:0;-760.901:-67.245:626.41
f=24,q=6;18.011:113.427:208.843;-514.095:45.062:604.22;-350.097:40.899:431.895;-96.89:182.737:462.365;-385.866:48.095:482.057;-369.508:107.815:585.138;-303.614:131.826:567.267;-281.865:121.074:524.013;-250.249:8.133:266.515;-276.226:210.71:697.647;-244.002:136.211:516.424;-242.9:73.43:389.759;-164.039:106.723:377.485;-626.41:67.245:760.901;0:0:0
--------------------------------------------------
AvgTravelTimes
;f=16,q=4;f=16,q=5;f=16,q=6;f=18,q=4;f=18,q=5;f=18,q=6;f=20,q=4;f=20,q=5;f=20,q=6;f=22,q=4;f=22,q=5;f=22,q=6;f=24,q=4;f=24,q=5;f=24,q=6
f=16,q=4;0:0:0;-65.698:4.81:75.318;-52.903:-15.759:21.386;-101.023:13.076:127.175;-6.139:22.77:51.68;-97.305:-10.699:75.907;-126.741:10.251:147.243;-2.08:25.035:52.149;7.052:30.794:54.537;-52.944:21.312:95.567;4.408:41.246:78.084;-50.712:23.181:97.074;-6.565:33.5:73.566;-7.663:40.748:89.159;7.968:41.193:74.417
f=16,q=5;-75.318:-4.81:65.698;0:0:0;-56.671:-20.569:15.534;-148.323:8.266:164.855;-32.434:17.96:68.355;-115.211:-15.509:84.193;-189.103:5.441:199.986;-71.775:20.225:112.224;-60.697:25.984:112.666;-16.145:16.502:49.149;-36.423:36.436:109.296;-15.862:18.371:52.604;-63.79:28.691:121.171;-80.698:35.938:152.574;-15.223:36.383:87.989
f=16,q=6;-21.386:15.759:52.903;-15.534:20.569:56.671;0:0:0;-96.243:28.835:153.912;8.534:38.529:68.524;-71.843:5.06:81.962;-133.53:26.01:185.549;-15.261:40.793:96.847;-11.136:46.553:104.242;-15.419:37.07:89.56;18.246:57.005:95.764;0.644:38.94:77.235;-7.692:49.259:106.21;-24.379:56.506:137.392;22.264:56.952:91.639
f=18,q=4;-127.175:-13.076:101.023;-164.855:-8.266:148.323;-153.912:-28.835:96.243;0:0:0;-130.326:9.694:149.715;-90.945:-23.775:43.395;-57.627:-2.825:51.978;-77.624:11.959:101.542;-109.864:17.719:145.301;-169.2:8.236:185.672;-58.503:28.17:114.843;-122.155:10.105:142.365;-53.722:20.425:94.571;-57.79:27.672:113.134;-117.183:28.117:173.417
f=18,q=5;-51.68:-22.77:6.139;-68.355:-17.96:32.434;-68.524:-38.529:-8.534;-149.715:-9.694:130.326;0:0:0;-135.615:-33.469:68.677;-178.274:-12.519:153.236;-53.651:2.265:58.18;-29.225:8.024:45.273;-47.639:-1.458:44.722;-37.26:18.476:74.212;-66.107:0.411:66.928;-55.513:10.73:76.974;-58.816:17.978:94.772;12.846:18.423:23.999
f=18,q=6;-75.907:10.699:97.305;-84.193:15.509:115.211;-81.962:-5.06:71.843;-43.395:23.775:90.945;-68.677:33.469:135.615;0:0:0;-97.389:20.95:139.289;-40.127:35.734:111.595;-67.197:41.493:150.184;-94.923:32.011:158.945;2.173:51.945:101.717;-35.839:33.88:103.599;-12.797:44.2:101.196;-39.405:51.447:142.299;-55.783:51.892:159.567
f=20,q=4;-147.243:-10.251:126.741;-199.986:-5.441:189.103;-185.549:-26.01:133.53;-51.978:2.825:57.627;-153.236:12.519:178.274;-139.289:-20.95:97.389;0:0:0;-95.097:14.784:124.664;-121.257:20.543:162.343;-198.027:11.061:220.148;-90.707:30.995:152.697;-163.21:12.93:189.069;-79.432:23.249:125.931;-62.57:30.497:123.564;-139.275:30.942:201.158
f=20,q=5;-52.149:-25.035:2.08;-112.224:-20.225:71.775;-96.847:-40.793:15.261;-101.542:-11.959:77.624;-58.18:-2.265:53.651;-111.595:-35.734:40.127;-124.664:-14.784:95.097;0:0:0;-32.578:5.76:44.097;-104.121:-3.723:96.675;-15.696:16.211:48.118;-88.4:-1.854:84.692;-11.087:8.466:28.018;-9.331:15.713:40.757;-44.18:16.158:76.496
f=20,q=6;-54.537:-30.794:-7.052;-112.666:-25.984:60.697;-104.242:-46.553:11.136;-145.301:-17.719:109.864;-45.273:-8.024:29.225;-150.184:-41.493:67.197;-162.343:-20.543:121.257;-44.097:-5.76:32.578;0:0:0;-91.394:-9.483:72.429;-48.772:10.452:69.675;-103.346:-7.614:88.119;-53.982:2.706:59.395;-38.804:9.953:58.711;-27.999:10.398:48.796
f=22,q=4;-95.567:-21.312:52.944;-49.149:-16.502:16.145;-89.56:-37.07:15.419;-185.672:-8.236:169.2;-44.722:1.458:47.639;-158.945:-32.011:94.923;-220.148:-11.061:198.027;-96.675:3.723:104.121;-72.429:9.483:91.394;0:0:0;-70.883:19.934:110.752;-64.464:1.869:68.203;-94.704:12.189:119.082;-103.19:19.436:142.062;-23.802:19.881:63.565
