;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;704.276:1690.679;638.464:1667.814
f=20,q=6;-1690.679:-704.276;0:0;-65.812:-22.865
f=24,q=6;-1667.814:-638.464;22.865:65.812;0:0
