;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-0.17:0.081;-0.093:-0.003
f=20,q=6;-0.081:0.17;0:0;-0.174:0.167
f=24,q=6;0.003:0.093;-0.167:0.174;0:0
