;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;30.064:45.936;63.08:82.92
f=20,q=6;-45.936:-30.064;0:0;33.016:36.984
f=24,q=6;-82.92:-63.08;-36.984:-33.016;0:0
