;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;40.388:43.831;50.534:61.215
f=20,q=6;-43.831:-40.388;0:0;10.146:17.384
f=24,q=6;-61.215:-50.534;-17.384:-10.146;0:0
