;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;2.208:53.792;38.636:72.364
f=20,q=6;-53.792:-2.208;0:0;18.572:36.428
f=24,q=6;-72.364:-38.636;-36.428:-18.572;0:0
