;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;132.916:209.217;44.075:338.192
f=20,q=6;-209.217:-132.916;0:0;-165.143:205.276
f=24,q=6;-338.192:-44.075;-205.276:165.143;0:0
