;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;33.945:139.263;35.963:140.067
f=20,q=6;-139.263:-33.945;0:0;0.805:2.017
f=24,q=6;-140.067:-35.963;-2.017:-0.805;0:0
