;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;21547.434:24100.258;22222.616:24172.054
f=20,q=6;-24100.258:-21547.434;0:0;71.797:675.182
f=24,q=6;-24172.054:-22222.616;-675.182:-71.797;0:0
