;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;59.62:119.859;121.558:138.315
f=20,q=6;-119.859:-59.62;0:0;1.699:78.695
f=24,q=6;-138.315:-121.558;-78.695:-1.699;0:0
