;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-87.632:190.473;-326.924:40.35
f=20,q=6;-190.473:87.632;0:0;-517.398:127.983
f=24,q=6;-40.35:326.924;-127.983:517.398;0:0
