;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-197.151:327.779;-1760.879:-531.724
f=20,q=6;-327.779:197.151;0:0;-1563.728:-859.502
f=24,q=6;531.724:1760.879;859.502:1563.728;0:0
