;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-0.512:11.732;-277.322:-103.389
f=20,q=6;-11.732:0.512;0:0;-276.809:-115.121
f=24,q=6;103.389:277.322;115.121:276.809;0:0
