;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;305.233:1023.646;229.461:1227.345
f=20,q=6;-1023.646:-305.233;0:0;-75.772:203.7
f=24,q=6;-1227.345:-229.461;-203.7:75.772;0:0
