;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-86.002:72.39;-415.154:46.5
f=20,q=6;-72.39:86.002;0:0;-487.544:132.502
f=24,q=6;-46.5:415.154;-132.502:487.544;0:0
