;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;0.007:0.086;-0.603:-0.416
f=20,q=6;-0.086:-0.007;0:0;-0.61:-0.502
f=24,q=6;0.416:0.603;0.502:0.61;0:0
