;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-69.576:15.006;-66.609:-34.015
f=20,q=6;-15.006:69.576;0:0;-49.021:2.967
f=24,q=6;34.015:66.609;-2.967:49.021;0:0
