;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;27.038:41.605;9.04:140.264
f=20,q=6;-41.605:-27.038;0:0;-32.565:113.226
f=24,q=6;-140.264:-9.04;-113.226:32.565;0:0
