;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-0.322:0.048;-0.324:-0.179
f=20,q=6;-0.048:0.322;0:0;-0.228:-0.002
f=24,q=6;0.179:0.324;0.002:0.228;0:0
