;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-33.338:10.088;-12.894:-2.564
f=20,q=6;-10.088:33.338;0:0;-22.983:30.774
f=24,q=6;2.564:12.894;-30.774:22.983;0:0
