;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-477.32:-51.957;-450.231:-298.778
f=20,q=6;51.957:477.32;0:0;-246.82:27.089
f=24,q=6;298.778:450.231;-27.089:246.82;0:0
