;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;33369.256:34301.097;33002.26:33951.442
f=20,q=6;-34301.097:-33369.256;0:0;-366.996:-349.655
f=24,q=6;-33951.442:-33002.26;349.655:366.996;0:0
