;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-158.915:198.948;-200.49:182.085
f=20,q=6;-198.948:158.915;0:0;-41.576:-16.864
f=24,q=6;-182.085:200.49;16.864:41.576;0:0
