;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-0.775:-0.145;-2.916:-0.178
f=20,q=6;0.145:0.775;0:0;-2.772:0.597
f=24,q=6;0.178:2.916;-0.597:2.772;0:0
