;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-303.509:182.898;-100.344:140.537
f=20,q=6;-182.898:303.509;0:0;-283.242:444.047
f=24,q=6;-140.537:100.344;-444.047:283.242;0:0
