;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;35.048:46.952;3.908:105.092
f=20,q=6;-46.952:-35.048;0:0;-31.14:58.14
f=24,q=6;-105.092:-3.908;-58.14:31.14;0:0
