;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-0.012:0.005;-0.016:0.001
f=20,q=6;-0.005:0.012;0:0;-0.021:0.013
f=24,q=6;-0.001:0.016;-0.013:0.021;0:0
