;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;15317.888:15786.112;14752.724:16048.276
f=20,q=6;-15786.112:-15317.888;0:0;-565.164:262.164
f=24,q=6;-16048.276:-14752.724;-262.164:565.164;0:0
