;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-1.085:2.985;-2.162:-0.618
f=20,q=6;-2.985:1.085;0:0;-3.603:-1.077
f=24,q=6;0.618:2.162;1.077:3.603;0:0
