;f=16,q=6;f=20,q=6;f=24,q=6
CSMaxDelays;63.686:214.886;24.412:151.318;23.336:541.81
PRMaxDelays;13.399:220.713;-16.692:101.912;-108.329:570.95
CSAvgDelays;1.565:2.39;-0.005:3.829;1.15:11.321
PRAvgDelays;0.882:1.012;-0.085:0.758;-1.011:8.497
PrcOverOneMinuteDelay;0.006:0.006;-0.002:0.014;0.004:0.044
MaxWaitTimes;1104.053:2099.253;399.777:408.575;431.44:465.589
AvgWaitTimes;134.435:142.322;94.047:98.49;81.107:83.901
MaxTravelTimes;2044.327:2716.459;1692.813:1739.094;1489.114:1814.866
AvgTravelTimes;293.597:398.513;295.498:411.27;343.717:403.679
CSMaxQueueSizes;208.256:271.744;210.62:240.38;209.7:259.3
PRMaxQueueSizes;625.64:784.36;357.34:565.66;374.192:421.808
