;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-222.515:199.852;-22.992:160.624
f=20,q=6;-199.852:222.515;0:0;-39.228:199.524
f=24,q=6;-160.624:22.992;-199.524:39.228;0:0
