;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;24.006:25.031;40.569:40.911
f=20,q=6;-25.031:-24.006;0:0;15.879:16.563
f=24,q=6;-40.911:-40.569;-16.563:-15.879;0:0
