;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-132.878:-22.509;-119.495:9.692
f=20,q=6;22.509:132.878;0:0;-96.986:142.57
f=24,q=6;-9.692:119.495;-142.57:96.986;0:0
