;f=16,q=6;f=20,q=6;f=24,q=6
CSMaxDelays;81.891:111.297;34.185:152.802;82.809:126.495
PRMaxDelays;74.309:119.533;3.367:99.892;73.954:287.903
CSAvgDelays;1.213:4.222;1.237:2.299;3.376:4.84
PRAvgDelays;1.399:1.539;0.053:0.987;1.728:5.449
PrcOverOneMinuteDelay;0.002:0.019;0.003:0.006;0.024:0.03
MaxWaitTimes;464.477:495.34;378.077:408.757;355.255:360.005
AvgWaitTimes;119.535:122.017;96.642:98.417;81.697:84.409
MaxTravelTimes;1820.786:1932.584;1798.943:1863.711;1710.108:1805.74
AvgTravelTimes;635.177:635.821;594.537:607.96;604.116:622.455
CSMaxQueueSizes;109.048:120.952;104.556:118.444;100.668:142.332
PRMaxQueueSizes;247.144:282.856;217.08:236.92;184.064:199.936
