;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-147.836:16.836;102.7:152.3
f=20,q=6;-16.836:147.836;0:0;135.464:250.536
f=24,q=6;-152.3:-102.7;-250.536:-135.464;0:0
