;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;21.379:23.349;36.408:39.4
f=20,q=6;-23.349:-21.379;0:0;13.059:18.021
f=24,q=6;-39.4:-36.408;-18.021:-13.059;0:0
