;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;8587.372:10291.628;8838.096:10349.904
f=20,q=6;-10291.628:-8587.372;0:0;58.276:250.724
f=24,q=6;-10349.904:-8838.096;-250.724:-58.276;0:0
