;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;2432.281:2713.981;2409.14:2784.036
f=20,q=6;-2713.981:-2432.281;0:0;-23.142:70.055
f=24,q=6;-2784.036:-2409.14;-70.055:23.142;0:0
