;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-138.464:242.464;142.192:189.808
f=20,q=6;-242.464:138.464;0:0;-52.656:280.656
f=24,q=6;-189.808:-142.192;-280.656:52.656;0:0
