;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;20.494:24.874;35.459:42.364
f=20,q=6;-24.874:-20.494;0:0;14.965:17.49
f=24,q=6;-42.364:-35.459;-17.49:-14.965;0:0
