;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-9.396:16.396;-33.284:20.284
f=20,q=6;-16.396:9.396;0:0;-23.888:3.888
f=24,q=6;-20.284:33.284;-3.888:23.888;0:0
