;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-41.368:16.461;-19.746:-1.22
f=20,q=6;-16.461:41.368;0:0;-36.206:40.148
f=24,q=6;1.22:19.746;-40.148:36.206;0:0
