;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-25.583:116.166;-213.594:45.578
f=20,q=6;-116.166:25.583;0:0;-188.011:-70.587
f=24,q=6;-45.578:213.594;70.587:188.011;0:0
