;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;9189.736:9868.264;9004.748:10058.252
f=20,q=6;-9868.264:-9189.736;0:0;-184.988:189.988
f=24,q=6;-10058.252:-9004.748;-189.988:184.988;0:0
