;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;99.646:166.383;120.558:173.48
f=20,q=6;-166.383:-99.646;0:0;-45.825:73.835
f=24,q=6;-173.48:-120.558;-73.835:45.825;0:0
