;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;55.721:117.262;104.472:140.085
f=20,q=6;-117.262:-55.721;0:0;22.823:48.751
f=24,q=6;-140.085:-104.472;-48.751:-22.823;0:0
