;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-81.238:-4.138;-120.08:12.074
f=20,q=6;4.138:81.238;0:0;-115.942:93.312
f=24,q=6;-12.074:120.08;-93.312:115.942;0:0
