;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-5.768:16.61;-296.759:-110.595
f=20,q=6;-16.61:5.768;0:0;-290.992:-127.205
f=24,q=6;110.595:296.759;127.205:290.992;0:0
