;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;93.54:103.46;129.096:152.904
f=20,q=6;-103.46:-93.54;0:0;25.636:59.364
f=24,q=6;-152.904:-129.096;-59.364:-25.636;0:0
