;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-16.848:0.971;-28.172:37.123
f=20,q=6;-0.971:16.848;0:0;-11.324:36.152
f=24,q=6;-37.123:28.172;-36.152:11.324;0:0
