;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;2.451:131.929;54.531:95.967
f=20,q=6;-131.929:-2.451;0:0;-35.962:52.079
f=24,q=6;-95.967:-54.531;-52.079:35.962;0:0
