;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-1.382:0.081;-3.199:-1.152
f=20,q=6;-0.081:1.382;0:0;-3.28:0.229
f=24,q=6;1.152:3.199;-0.229:3.28;0:0
