;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;27.861:40.64;13.365:31.061
f=20,q=6;-40.64:-27.861;0:0;-14.495:-9.579
f=24,q=6;-31.061:-13.365;9.579:14.495;0:0
