;f=16,q=6;f=20,q=6;f=24,q=6
CSMaxDelays;131.911:235.613;235.599:566.032;225.453:437.752
PRMaxDelays;104.256:164.711;351.654:437.357;251.628:284.311
CSAvgDelays;15.663:16.884;0.423:57.031;16.882:36.629
PRAvgDelays;7.658:8.98;-1.109:40.995;10.222:21.874
PrcOverOneMinuteDelay;0.087:0.095;0.015:0.257;0.09:0.189
MaxWaitTimes;790.705:1130.2;413.276:1152.776;313.56:718.02
AvgWaitTimes;162.85:174.098;97.723:139.928;89.145:96.083
MaxTravelTimes;1813.358:1912.477;1729.58:2116.868;1672.821:2012.822
AvgTravelTimes;707.716:753.125;621.195:705.264;653.185:657.158
CSMaxQueueSizes;280.052:416.948;174.484:418.516;137.86:227.14
PRMaxQueueSizes;472.72:651.28;355.884:699.116;284.692:580.308
