;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-23.529:34.677;-541.161:106.033
f=20,q=6;-34.677:23.529;0:0;-575.838:129.562
f=24,q=6;-106.033:541.161;-129.562:575.838;0:0
