;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;21098.794:24309.391;21381.289:24104.411
f=20,q=6;-24309.391:-21098.794;0:0;-204.98:282.495
f=24,q=6;-24104.411:-21381.289;-282.495:204.98;0:0
