;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;0.002:0.003;-0.003:0.004
f=20,q=6;-0.003:-0.002;0:0;-0.006:0.002
f=24,q=6;-0.004:0.003;-0.002:0.006;0:0
