;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-42.925:133.641;15.045:222.477
f=20,q=6;-133.641:42.925;0:0;57.971:88.836
f=24,q=6;-222.477:-15.045;-88.836:-57.971;0:0
