;0;1
CSMaxDelays;84.908;76.011
PRMaxDelays;12.5;72.72
CSAvgDelays;2.211;2.171
PRAvgDelays;0.082;0.488
PrcOverOneMinuteDelay;0.003;0.007
MaxWaitTimes;390.001;421.076
AvgWaitTimes;98.637;97.861
MaxTravelTimes;1720.169;1782.286
AvgTravelTimes;509.991;533.479
CSMaxQueueSizes;133;126
PRMaxQueueSizes;344;318
