;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-1.439:1.57;-9.756:1.24
f=20,q=6;-1.57:1.439;0:0;-11.326:2.679
f=24,q=6;-1.24:9.756;-2.679:11.326;0:0
