;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;0.552:1.346;-3.91:-0.329
f=20,q=6;-1.346:-0.552;0:0;-4.462:-1.676
f=24,q=6;0.329:3.91;1.676:4.462;0:0
