;f=16,q=6;f=20,q=6;f=24,q=6
f=16,q=6;0:0;-49.388:32.3;5.828:88.236
f=20,q=6;-32.3:49.388;0:0;55.216:55.936
f=24,q=6;-88.236:-5.828;-55.936:-55.216;0:0
