;f=16,q=6;f=20,q=6;f=24,q=6
CSMaxDelays;188.303:248.125;300.083:665.623;546.903:638.534
PRMaxDelays;46.481:270.131;195.918:770.932;401.214:660.598
CSAvgDelays;16.893:20.737;7.976:87.3;60.379:88.858
PRAvgDelays;4.709:13.309;-1.697:74.284;47.325:71.318
PrcOverOneMinuteDelay;0.094:0.098;0.05:0.416;0.278:0.418
MaxWaitTimes;22473.301:25645.782;925.867:1545.524;250.685:1473.728
AvgWaitTimes;2576.566:2913.121;111.425:170.109;92.569:122.902
MaxTravelTimes;23056.067:26403.414;1957.273:2094.023;1674.778:2299.003
AvgTravelTimes;3146.862:3486.843;714.58:772.862;702.807:737.722
CSMaxQueueSizes;8985.888:10942.112;398.516:650.484;147.792:592.208
PRMaxQueueSizes;10063.204:10485.796;617.532:873.468;427.544:1058.456
